09:45:04 DataDelete
09:45:04 Delete Start fn_batch_db_datadelete 
09:45:10 Delete tga_target 2025-10-03
09:45:10 Delete tga_target 2025-10-04
09:45:10 Delete tga_target 2025-10-05
09:45:10 Delete tga_target 2025-10-06
09:45:10 Delete tga_target 2025-10-07
09:45:10 Delete tga_target 2025-10-08
09:45:10 Delete tga_target 2025-10-09
09:45:10 Delete tga_target 2025-10-10
09:45:10 Delete tga_target 2025-10-11
09:45:10 Delete tga_target 2025-10-12
09:45:10 Delete tga_target 2025-10-13
09:45:10 Delete tga_target 2025-10-14
09:45:10 Delete tga_target 2025-10-15
09:45:10 Delete tga_target 2025-10-16
09:45:10 Delete tga_target 2025-10-17
09:45:10 Delete tga_target 2025-10-18
09:45:10 Delete tga_target 2025-10-19
09:45:10 Delete tga_target 2025-10-20
09:45:10 Delete tga_target 2025-10-21
09:45:10 Delete tga_target 2025-10-22
09:45:10 Delete tga_target 2025-10-23
09:45:10 Delete tga_target 2025-10-24
09:45:10 Delete tga_target 2025-10-25
09:45:10 Delete tga_target 2025-10-26
09:45:10 Delete tga_target 2025-10-27
09:45:10 Delete tga_target 2025-10-28
09:45:10 Delete tga_target 2025-10-29
09:45:10 Delete tga_target 2025-10-30
09:45:10 Delete tga_target 2025-10-31
09:45:10 Delete tga_target 2025-11-01
09:45:10 Delete tga_target 2025-11-02
09:45:10 Delete tga_target 2025-11-03
09:45:10 Delete tga_target 2025-11-04
09:45:10 Delete tga_target 2025-11-05
09:45:10 Delete tga_target 2025-11-06
09:45:10 Delete tga_target 2025-11-07
09:45:10 Delete tga_target 2025-11-08
09:45:10 Delete tga_target 2025-11-09
09:45:10 Delete tga_target 2025-11-10
09:45:10 Delete tga_target 2025-11-11
09:45:10 Delete tga_target 2025-11-12
09:45:10 Delete tga_target 2025-11-13
09:45:10 Delete tga_target 2025-11-14
09:45:10 Delete tga_target 2025-11-15
09:45:10 Delete tga_target 2025-11-16
09:45:10 Delete tga_target 2025-11-17
09:45:10 Delete tga_target 2025-11-18
09:45:10 Delete tga_target 2025-11-19
09:45:10 Delete tga_target 2025-11-20
09:45:10 Delete tga_target 2025-11-21
09:45:10 Delete tga_target 2025-11-22
09:45:10 Delete tga_target 2025-11-23
09:45:10 Delete tga_target 2025-11-24
09:45:10 Delete tga_target 2025-11-25
09:45:10 Delete tga_target 2025-11-26
09:45:10 Delete tga_target 2025-11-27
09:45:10 Delete tga_target 2025-11-28
09:45:10 Delete tga_target 2025-11-29
09:45:11 Delete tga_target 2025-11-30
09:45:12 Delete tga_target 2025-12-01
09:45:13 Delete tga_target 2025-12-02
09:45:14 Delete tga_target 2025-12-03
09:45:14 Delete tga_target 2025-12-04
09:45:15 Delete tga_target 2025-12-05
09:45:15 -=Complete=-
